cluster,平均年龄编码,平均月收入编码,平均学历编码,平均AI使用频率,平均传统平台使用频次,主要性别,主要职业,主要院校类型,AIGC学习场景比例,AIGC工作场景比例,AIGC娱乐场景比例,AIGC生活场景比例,传统平台学习场景比例,传统平台工作场景比例,传统平台娱乐场景比例,传统平台生活场景比例
0,2.13,2.66,2.91,2.28,2.0,1,1,4,0.41,0.48,0.53,0.5,0.54,0.54,0.35,0.47
1,2.1464646464646466,2.409090909090909,2.9494949494949494,2.404040404040404,1.9848484848484849,1,1,2,0.6161616161616161,0.46464646464646464,0.43434343434343436,0.3484848484848485,0.601010101010101,0.5252525252525253,0.30303030303030304,0.4090909090909091
2,2.3653846153846154,4.134615384615385,3.355769230769231,2.4038461538461537,1.9615384615384615,1,4,2,0.25961538461538464,0.49038461538461536,0.7019230769230769,0.5288461538461539,0.5480769230769231,0.6826923076923077,0.25,0.4807692307692308
