cluster,平均年龄,主要年龄段,平均月收入,主要收入段,平均AI频率,主要AI频率,主要职业,主要院校类型,AIGC学习,AIGC工作,AIGC技术,AIGC生活,传统学习,传统工作,传统技术,传统生活
0,2.2241379310344827,2,4.137931034482759,4,2.396551724137931,2,4,2,0.25862068965517243,0.4482758620689655,0.7586206896551724,0.5344827586206896,0.4827586206896552,0.6724137931034483,0.2413793103448276,0.603448275862069
1,2.049382716049383,2,2.1358024691358026,2,3.259259259259259,3,1,2,0.6049382716049383,0.5802469135802469,0.35802469135802467,0.35802469135802467,0.6419753086419753,0.6049382716049383,0.30864197530864196,0.2839506172839506
2,2.851063829787234,3,3.8297872340425534,4,2.0425531914893615,2,2,2,0.2765957446808511,0.3829787234042553,0.7446808510638298,0.574468085106383,0.46808510638297873,0.574468085106383,0.23404255319148937,0.7021276595744681
3,1.9714285714285715,2,2.1142857142857143,2,2.1857142857142855,2,1,5,0.5,0.4714285714285714,0.4857142857142857,0.44285714285714284,0.5714285714285714,0.5285714285714286,0.35714285714285715,0.4142857142857143
4,1.9487179487179487,2,1.935897435897436,2,1.7692307692307692,2,1,2,0.7564102564102564,0.41025641025641024,0.3717948717948718,0.23076923076923078,0.6025641025641025,0.3974358974358974,0.358974358974359,0.41025641025641024
5,2.769230769230769,3,4.230769230769231,4,2.423076923076923,2,9,2,0.38461538461538464,0.5,0.5384615384615384,0.5384615384615384,0.5769230769230769,0.6923076923076923,0.19230769230769232,0.4230769230769231
6,2.2142857142857144,2,4.071428571428571,4,2.4047619047619047,2,4,5,0.21428571428571427,0.5238095238095238,0.6428571428571429,0.5714285714285714,0.6190476190476191,0.6666666666666666,0.30952380952380953,0.35714285714285715
